rank,story_id,title_internal,bounded_moment,audience,topics,service_actions,score,source_media_id,source_permalink,privacy_state,proof_ceiling,packet_state
25,JEN-STORY-3699296386325066852,"We negotiated an offer $50K below asking, and it was accepted! Today, they’re the proud owners of th","We negotiated an offer $50K below asking, and it was accepted! Today, they’re the proud owners of their dream home. 🎉

Helping clients",SELLER,client move stories,PROTECTED,73,3699296386325066852,https://www.instagram.com/p/DNWinaxyrRk/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
26,JEN-STORY-3264521951593121951,"I negotiated it down to. So my clients not only got the home for an amazing price, but they also got","I negotiated it down to. So my clients not only got the home for an amazing price, but they also got a generous seller credit 🏡🎉 JUST SOLD!",BUYER; SELLER,client move stories,PROTECTED,72,3264521951593121951,https://www.instagram.com/p/C1N6Ws2LEif/,DEIDENTIFIED,EXPERIENCE,DEEP
27,JEN-STORY-3123695950229347652,We submitted several offers that just didn’t work out. 🏡🎉 JUST SOLD!,We submitted several offers that just didn’t work out. 🏡🎉 JUST SOLD!,,motherhood and family life,,72,3123695950229347652,https://www.instagram.com/p/CtZmOqrvx1E/,NEEDS_JEN_APPROVAL,EXPERIENCE,DEEP
28,JEN-STORY-2973712782253167736,"and guess what, today i just closed on a home i didn’t think i could ever buy on my own. in the few ","and guess what, today i just closed on a home i didn’t think i could ever buy on my own. in the few days before i wrote my offer, i asked my dad for a sign.",,grief growth and resilience,,72,2973712782253167736,https://www.instagram.com/p/ClEwAUiPRR4/,DEIDENTIFIED,EXPERIENCE,DEEP
29,JEN-STORY-2579425415830282046,Our buyers didn’t want to put their first condo on the market without finding a home first. we negot,Our buyers didn’t want to put their first condo on the market without finding a home first. we negotiated the same on the sale of their condo. Win-win for everyone. Now our buyers,BUYER; SELLER,client move stories,PROTECTED,72,2579425415830282046,https://www.instagram.com/p/CPL9b_TLZ8-/,NEEDS_JEN_APPROVAL,EXPERIENCE,DEEP
30,JEN-STORY-3557337562697451549,"Then, just as we were nearing the finish line, the unexpected happened: the bank rejected the loan. ","Then, just as we were nearing the finish line, the unexpected happened: the bank rejected the loan. In the end, we found the right solution, got the financing approved, and successfully closed escrow. 🏡🎉 JUST SOLD!",BUYER,client move stories,,70,3557337562697451549,https://www.instagram.com/p/DFeM6pqvEgd/,NEEDS_JEN_APPROVAL,EXPERIENCE,DEEP
31,JEN-STORY-3459308543220392407,"Worried they might not find something in time, they contacted us to help them with their next move. ","Worried they might not find something in time, they contacted us to help them with their next move. We made an offer and got accepted right away. 🏡🎉 JUST SOLD!",BUYER; SELLER,client move stories,,70,3459308543220392407,https://www.instagram.com/p/DAB7sq3ICHX/,NEEDS_JEN_APPROVAL,EXPERIENCE,DEEP
32,JEN-STORY-3159274087117597422,Let us take the stress out of the process and help you find the perfect home. A repeat client of our,Let us take the stress out of the process and help you find the perfect home. A repeat client of ours was looking to upgrade from her first property we helped her purchase last year. 🏡🎉 JUST SOLD!,BUYER,decision clarity,,70,3159274087117597422,https://www.instagram.com/p/CvX_wsuvaru/,NEEDS_JEN_APPROVAL,EXPERIENCE,DEEP
33,JEN-STORY-3154295316392202838,"We contacted the listing agent and counteroffers had already gone out, so we made sure to submit a c","We contacted the listing agent and counteroffers had already gone out, so we made sure to submit a clean and strong offer that the seller couldn’t refuse. After telling us what they were looking for, we showed them 2 homes, and one was a clear winner. 🏡🎉 JUST SOLD!",SELLER,client move stories,,70,3154295316392202838,https://www.instagram.com/p/CvGTuDKPFJW/,NEEDS_JEN_APPROVAL,EXPERIENCE,DEEP
34,JEN-STORY-3119459046023926337,We contacted the agent and turns out there were no more showings and multiple offers. We made sure t,We contacted the agent and turns out there were no more showings and multiple offers. We made sure to structure it competitively to get our offer accepted and closed in 18 days. 🏡🎉 JUST SOLD!,BUYER; SELLER,client move stories,,70,3119459046023926337,https://www.instagram.com/p/CtKi3mJopJB/,NEEDS_JEN_APPROVAL,EXPERIENCE,DEEP
35,JEN-STORY-3054102915068471323,"It was stressful and scary, but a friend of theirs referred them to us and we helped them sell this ","It was stressful and scary, but a friend of theirs referred them to us and we helped them sell this home just in time, a few weeks before the foreclosure sale date! 🏡🎉 JUST SOLD!",SELLER,client move stories,,70,3054102915068471323,https://www.instagram.com/p/CpiWmuAJCgb/,NEEDS_JEN_APPROVAL,EXPERIENCE,DEEP
36,JEN-STORY-3049963502470880178,The whole family is over the moon and I couldn’t be more happier for them. I helped my buyers sell t,The whole family is over the moon and I couldn’t be more happier for them. I helped my buyers sell their condo in order to purchase this beautiful new home. 🏡🎉 JUST SOLD!,BUYER,client move stories,,70,3049963502470880178,https://www.instagram.com/p/CpTpaVmrtuy/,DEIDENTIFIED,EXPERIENCE,DEEP
37,JEN-STORY-3047820308051420146,"The market was shifting, and shifting fast, and running into the holidays didn’t help either. I help","The market was shifting, and shifting fast, and running into the holidays didn’t help either. I helped my seller purchase this home a few years ago as her first home. 🏡🎉 JUST SOLD!",BUYER; SELLER,client move stories,,70,3047820308051420146,https://www.instagram.com/p/CpMCGwQoGPy/,NEEDS_JEN_APPROVAL,EXPERIENCE,DEEP
38,JEN-STORY-3013057175735917028,"Despite the uncertainty of the current real estate market, our team can help you bring ownership of ","Despite the uncertainty of the current real estate market, our team can help you bring ownership of your dream home into reality. After talking to us, we helped them realize they were more ready than they thought. 🎉🏡 JUST SOLD!",BUYER,client move stories,,70,3013057175735917028,https://www.instagram.com/p/CnQh4mXrlnk/,NEEDS_JEN_APPROVAL,EXPERIENCE,DEEP
39,JEN-STORY-2557600871964650450,"Not only did we get multiple offers for our sellers, but we made sure to find a solid buyer to ensur","Not only did we get multiple offers for our sellers, but we made sure to find a solid buyer to ensure a concurrent close. We listed this property at the beginning of the week and it was in escrow before the weekend.",BUYER; SELLER,client move stories,,70,2557600871964650450,https://www.instagram.com/p/CN-bHE6rqvS/,NEEDS_JEN_APPROVAL,EXPERIENCE,DEEP
40,JEN-STORY-3629566288541297269,"We handled all the screening, paperwork, and made the whole process seamless for him so there was no","We handled all the screening, paperwork, and made the whole process seamless for him so there was no loss in cash flow. We helped our client rent out this beautiful Woodland Hills property last year.",BUYER; SELLER,local life and homes,,68,3629566288541297269,https://www.instagram.com/p/DJez08lPKp1/,DEIDENTIFIED,EXPERIENCE,DEEP
41,JEN-STORY-2987597630923770525,"after showing me, i asked if he could send it to me and he said “but i don’t have your number” so i ","after showing me, i asked if he could send it to me and he said “but i don’t have your number” so i just gave it to him and thought nothing of it. and here we are now, on the other side of the country, married, and still dancing our way through this adventure called life together.",,travel and experience design,,67,2987597630923770525,https://www.instagram.com/p/Cl2FDdjAoqd/,NEEDS_JEN_APPROVAL,EXPERIENCE,DEEP
42,JEN-STORY-2568725752072426704,"i didn’t tell too many people, but in march 2019 my dad got a quintuple bypass. swipe right for a co","i didn’t tell too many people, but in march 2019 my dad got a quintuple bypass. swipe right for a collage gift my mom dug up on the garage that i made for my dad many moons ago lol",,grief growth and resilience,,67,2568725752072426704,https://www.instagram.com/p/COl8nY5rNTQ/,NEEDS_JEN_APPROVAL,EXPERIENCE,DEEP
43,JEN-STORY-2534545795608059459,"just a couple months ago i learned that my last name, santulan, means “the balance” in hindi 🤯.","just a couple months ago i learned that my last name, santulan, means “the balance” in hindi 🤯.",,jen human lens,,67,2534545795608059459,https://www.instagram.com/p/CMsg_j2LZ5D/,DEIDENTIFIED,EXPERIENCE,DEEP
44,JEN-STORY-3901418446255907434,"meanwhile… people buy homes every day with less money down than they expected, imperfect credit, and","meanwhile… people buy homes every day with less money down than they expected, imperfect credit, and strategies they didn’t know existed.",BUYER,local life and homes,,66,3901418446255907434,https://www.instagram.com/p/DYkn2gBPWJq/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
45,JEN-STORY-3897854708656444095,"Like many first-time homebuyers in today’s market, they faced challenges and heartbreak after being ","Like many first-time homebuyers in today’s market, they faced challenges and heartbreak after being outbid on a couple of properties.",BUYER,life transitions around home,,66,3897854708656444095,https://www.instagram.com/p/DYX9jSvjRK_/,DEIDENTIFIED,EXPERIENCE,BANK
46,JEN-STORY-3626021570017514483,🏡🎉 JUST SOLD!,🏡🎉 JUST SOLD!,BUYER; SELLER,local life and homes,,66,3626021570017514483,https://www.instagram.com/p/DJSN2gMzFPz/,DEIDENTIFIED,EXPERIENCE,BANK
47,JEN-STORY-3607927059823525870,"When you work with the right agent (hey 👋🏼), selling your home doesn’t have to be stressful.","When you work with the right agent (hey 👋🏼), selling your home doesn’t have to be stressful.",BUYER; SELLER,local life and homes,,66,3607927059823525870,https://www.instagram.com/p/DIR7ouYTP_u/,DEIDENTIFIED,EXPERIENCE,BANK
48,JEN-STORY-3534662335506041190,🏡🎉 JUST SOLD!,🏡🎉 JUST SOLD!,BUYER; SELLER,local life and homes,,66,3534662335506041190,https://www.instagram.com/p/DENpKqsyklm/,DEIDENTIFIED,EXPERIENCE,BANK
49,JEN-STORY-3519598740934035846,"We gave the property a refresher, took new photos, doubled down on marketing and we were able to get","We gave the property a refresher, took new photos, doubled down on marketing and we were able to get the property in escrow in about a month and closed in less than 30 days after then.",SELLER,client move stories,,66,3519598740934035846,https://www.instagram.com/p/DDYIGhBSQmG/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
50,JEN-STORY-3029008387173537432,🎉🏡 JUST SOLD!,🎉🏡 JUST SOLD!,BUYER,client move stories,,66,3029008387173537432,https://www.instagram.com/p/CoJMxRrKFaY/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
51,JEN-STORY-2830973973019056823,One weekend of open houses and we found the perfect buyer.,One weekend of open houses and we found the perfect buyer.,BUYER,client move stories,,66,2830973973019056823,https://www.instagram.com/p/CdJo9ROLVq3/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
52,JEN-STORY-2687438219238462581,We helped them secure this home for over $43k below list price!,We helped them secure this home for over $43k below list price!,BUYER; SELLER,client move stories,,66,2687438219238462581,https://www.instagram.com/p/CVLstJdhFR1/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
53,JEN-STORY-2469243622888792815,We received multiple offers on our lease listing that went almost $2000/mo over asking!,We received multiple offers on our lease listing that went almost $2000/mo over asking!,SELLER,local life and homes,,66,2469243622888792815,https://www.instagram.com/p/CJEg_4OL2Lv/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
54,JEN-STORY-2395968144381484193,Just sold our tennis court estate to the perfect buyers for the home.,Just sold our tennis court estate to the perfect buyers for the home.,BUYER,local life and homes,,66,2395968144381484193,https://www.instagram.com/p/CFAMFU7Apyh/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
55,JEN-STORY-2286608831142284582,"So we put it on the market, ended up with multiple offers and getting them more than their asking pr","So we put it on the market, ended up with multiple offers and getting them more than their asking price.",SELLER,local life and homes,,66,2286608831142284582,https://www.instagram.com/p/B-7qp3wgc0m/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
56,JEN-STORY-2201103375330955192,"Pair that with efficient marketing efforts, and it should be a home run, like we did for this one we","Pair that with efficient marketing efforts, and it should be a home run, like we did for this one we just closed in Sherman Oaks.",SELLER,local life and homes,,66,2201103375330955192,https://www.instagram.com/p/B6L49ugg8-4/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
57,JEN-STORY-1980172522372699109,"we put it on the market after the holidays to ensure the best exposure, received multiple offers and","we put it on the market after the holidays to ensure the best exposure, received multiple offers and opened escrow in 3 days.",BUYER; SELLER,client move stories,,66,1980172522372699109,https://www.instagram.com/p/Bt6_GruA5Pl/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
58,JEN-STORY-3951404566314523771,"Not long after, we found a home they truly loved. To top it all off, we successfully closed escrow i","Not long after, we found a home they truly loved. To top it all off, we successfully closed escrow in just 15 days, making for a smooth and efficient transaction from start to finish.",BUYER; SELLER,client move stories,,65,3951404566314523771,https://www.instagram.com/p/DbWNYSDCJx7/,NEEDS_JEN_APPROVAL,EXPERIENCE,DEEP
59,JEN-STORY-3880424679739824510,"This beautiful home at [address removed] didn’t stay on the market for long. Now, we’re officially i","This beautiful home at [address removed] didn’t stay on the market for long. Now, we’re officially in escrow.",SELLER,decision clarity,,65,3880424679739824510,https://www.instagram.com/p/DXaCa_VjRl-/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
60,JEN-STORY-3876079201422233542,"Together, we planned the perfect timing and launched the listing right after the New Year to maximiz","Together, we planned the perfect timing and launched the listing right after the New Year to maximize exposure. The result?",SELLER,client move stories,,65,3876079201422233542,https://www.instagram.com/p/DXKmX9SDU_G/,DEIDENTIFIED,EXPERIENCE,DEEP
61,JEN-STORY-3852130267956065708,"Like many buyers in the competitive LA market, the journey wasn’t easy. ✨ Just Sold!","Like many buyers in the competitive LA market, the journey wasn’t easy. ✨ Just Sold!",BUYER,client move stories,,65,3852130267956065708,https://www.instagram.com/p/DV1hBG6DTWs/,DEIDENTIFIED,EXPERIENCE,BANK
62,JEN-STORY-3723873639940151333,"it wasn’t always easy. this was our very first international trip with a toddler, and i learned a lo","it wasn’t always easy. this was our very first international trip with a toddler, and i learned a lot.",,travel and experience design,,65,3723873639940151333,https://www.instagram.com/p/DOt21h5Etgl/,NEEDS_JEN_APPROVAL,EXPERIENCE,DEEP
63,JEN-STORY-3671607435608811404,"This sweet home officially has new owners — and we closed for $54,000 over asking with multiple offe","This sweet home officially has new owners — and we closed for $54,000 over asking with multiple offers and in escrow within the first week! 🏡🎉 JUST SOLD!",BUYER; SELLER,decision clarity,,65,3671607435608811404,https://www.instagram.com/p/DL0K4J6JWeM/,DEIDENTIFIED,EXPERIENCE,BANK
64,JEN-STORY-3652806552815535882,"After Dad passed away about a year and a half ago and with Mom’s health on the decline, my seller st","After Dad passed away about a year and a half ago and with Mom’s health on the decline, my seller stepped up as the executor of the trust. 🏡🎉 JUST SOLD!",SELLER,client move stories,,65,3652806552815535882,https://www.instagram.com/p/DKxYDTVygcK/,DEIDENTIFIED,EXPERIENCE,BANK
65,JEN-STORY-3565113204894460337,"Our client always believed homeownership was out of reach, thinking they wouldn’t qualify or didn’t ","Our client always believed homeownership was out of reach, thinking they wouldn’t qualify or didn’t have enough savings. Together, we found the perfect property, navigated escrow seamlessly, and secured favorable terms.",BUYER,life transitions around home,,65,3565113204894460337,https://www.instagram.com/p/DF505Ixyemx/,NEEDS_JEN_APPROVAL,EXPERIENCE,DEEP
66,JEN-STORY-3489708732649198334,"We found buyers who also just got married and ready to start their family, and also found our client","We found buyers who also just got married and ready to start their family, and also found our clients their forever home. 🏡🎉 JUST SOLD!",BUYER; SELLER,client move stories,,65,3489708732649198334,https://www.instagram.com/p/DBt75pjIlL-/,NEEDS_JEN_APPROVAL,EXPERIENCE,DEEP
67,JEN-STORY-3485385412322025807,All of a sudden we had multiple offers above asking! 🏡🎉 JUST SOLD!,All of a sudden we had multiple offers above asking! 🏡🎉 JUST SOLD!,BUYER; SELLER,unclassified,,65,3485385412322025807,https://www.instagram.com/p/DBek5DuyGFP/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
68,JEN-STORY-3469526674203337730,"And after viewing a few homes, we found the perfect one for him, and also negotiated it for $20k les","And after viewing a few homes, we found the perfect one for him, and also negotiated it for $20k less than asking. 🏡🎉 JUST SOLD!",BUYER,market proof and numbers,,65,3469526674203337730,https://www.instagram.com/p/DAmPCC6oeQC/,NEEDS_JEN_APPROVAL,EXPERIENCE,DEEP
69,JEN-STORY-3435330131071955291,"One of their friends, who we helped purchase last year, suggested they get in touch with our team to","One of their friends, who we helped purchase last year, suggested they get in touch with our team to help them in their house hunt. 🏡🎉 JUST SOLD!",BUYER,client move stories,,65,3435330131071955291,https://www.instagram.com/p/C-svo2UvXFb/,NEEDS_JEN_APPROVAL,EXPERIENCE,DEEP
70,JEN-STORY-3424612767368980571,We showed them several properties over the next week and they fell in love with one. 🏡🎉 JUST SOLD!,We showed them several properties over the next week and they fell in love with one. 🏡🎉 JUST SOLD!,BUYER,client move stories,,65,3424612767368980571,https://www.instagram.com/p/C-GqyrkS6hb/,NEEDS_JEN_APPROVAL,EXPERIENCE,DEEP
71,JEN-STORY-3395690948774867769,"However, after a couple weeks of house hunting, we found the one and we were able to negotiate a sel","However, after a couple weeks of house hunting, we found the one and we were able to negotiate a seller credit for him to BUY DOWN his rate. 🏡🎉 JUST SOLD!",BUYER; SELLER,unclassified,,65,3395690948774867769,https://www.instagram.com/p/C8f6u1AvDM5/,NEEDS_JEN_APPROVAL,EXPERIENCE,DEEP
72,JEN-STORY-3309444192713236511,"After having multiple offers, our efforts won out and our client got the house they wanted. After a ","After having multiple offers, our efforts won out and our client got the house they wanted. After a long search, we found the perfect investment property for our client, close to their primary residence.",SELLER,life transitions around home,,65,3309444192713236511,https://www.instagram.com/p/C3tgfWGpuAf/,NEEDS_JEN_APPROVAL,EXPERIENCE,DEEP
73,JEN-STORY-3257175643019599950,"With my aggressive marketing strategy, we received multiple offers in the first weekend on the marke","With my aggressive marketing strategy, we received multiple offers in the first weekend on the market, and we ended up accepting an offer $90K above asking price. 🏡🎉 JUST SOLD!",SELLER,client move stories,,65,3257175643019599950,https://www.instagram.com/p/C0zz_11POBO/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
74,JEN-STORY-3220131489500837632,We helped our seller purchase this property off market. 🏡🎉 JUST SOLD!,We helped our seller purchase this property off market. 🏡🎉 JUST SOLD!,BUYER; SELLER,unclassified,,65,3220131489500837632,https://www.instagram.com/p/CywNIdZvzcA/,NEEDS_JEN_APPROVAL,EXPERIENCE,DEEP
75,JEN-STORY-2723830198585166529,However we received multiple offers in the first 2 weeks. We made sure to screen them all to make su,However we received multiple offers in the first 2 weeks. We made sure to screen them all to make sure to find a solid buyer and successfully close!,BUYER; SELLER,life transitions around home,,65,2723830198585166529,https://www.instagram.com/p/CXM_SJXJorB/,NEEDS_JEN_APPROVAL,EXPERIENCE,DEEP
76,JEN-STORY-2702681455695149287,"For a second, we started looking in areas they knew they didn’t want, just to secure something fast.","For a second, we started looking in areas they knew they didn’t want, just to secure something fast. In just a few weeks, we found them the perfect home, and in the neighborhood they wanted all along.",BUYER; SELLER,client move stories,,65,2702681455695149287,https://www.instagram.com/p/CWB2nbrvrjn/,NEEDS_JEN_APPROVAL,EXPERIENCE,DEEP
